timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
262662637,15.976636,16.071308,4.5165706,4.0139246,147.22388,1.0,1.0,4,1,0
262962620,16.001522,16.058262,4.806626,4.272801,147.61186,1.0,1.0,4,1,0
263264135,16.009817,16.040451,4.7859077,4.476353,148.0132,1.0,1.0,4,1,0
263564013,15.918569,16.025728,5.013808,4.6442976,148.4205,1.0,1.0,4,1,0
263864083,15.827321,16.00565,5.7389455,4.9010277,148.8588,1.0,1.0,4,1,0
264164115,15.95175,15.984784,5.9357686,5.2436485,149.33826,1.0,1.0,4,1,0
264464140,15.976636,15.966036,5.5939183,5.486315,149.82816,1.0,1.0,4,1,0
264765691,15.893683,15.964787,4.7755485,5.258023,150.24199,1.0,1.0,4,1,0
265065702,16.026407,15.977534,4.1850796,4.9226384,150.61182,1.0,1.0,4,1,0
265365693,16.009817,15.995828,3.8432288,4.5917983,150.95312,1.0,1.0,4,1,0
265665676,16.067883,16.01535,3.9261017,4.3338466,151.28151,1.0,1.0,4,1,0
265977681,16.067883,16.02742,4.081488,4.2098417,151.63055,1.0,1.0,4,1,0
266279372,16.018112,16.03498,3.9261017,4.0984926,151.96014,1.0,1.0,4,1,0
266579301,15.993226,16.042793,3.8639472,4.011507,152.28345,1.0,1.0,4,1,0
266879333,16.042997,16.05333,4.0296926,3.998123,152.61441,1.0,1.0,4,1,0
267179342,16.059587,16.059048,4.143643,4.0123487,152.95023,1.0,1.0,4,1,0
267479266,16.042997,16.064463,3.9468198,4.03264,153.28893,1.0,1.0,4,1,0
267780947,16.042997,16.059355,4.06077,4.0389605,153.62766,1.0,1.0,4,1,0
268081702,16.026407,16.058466,4.2783117,4.0898566,153.97551,1.0,1.0,4,1,0
268380936,16.026407,16.05307,4.29903,4.1602087,154.32999,1.0,1.0,4,1,0
268692840,15.976636,16.053125,4.433698,4.195171,154.69682,1.0,1.0,4,1,0
268992925,16.101065,16.04777,4.5580072,4.3501787,155.07852,1.0,1.0,4,1,0
269294514,15.960045,16.043993,4.7341123,4.48487,155.4711,1.0,1.0,4,1,0
269594499,16.067883,16.034454,4.9516535,4.6207376,155.87234,1.0,1.0,4,1,0
269894461,16.067883,16.022375,5.003449,4.771614,156.28891,1.0,1.0,4,1,0
270194497,15.960045,16.016666,5.0552444,4.848089,156.70221,1.0,1.0,4,1,0
270494449,16.009817,16.01118,5.189913,4.9054623,157.11789,1.0,1.0,4,1,0
270796189,15.9019785,16.002777,5.158836,5.0115366,157.5507,1.0,1.0,4,1,0
271108151,15.993226,15.991889,5.283145,5.13246,158.01128,1.0,1.0,4,1,0
271408091,16.001522,15.98507,5.324581,5.1933656,158.45113,1.0,1.0,4,1,0
